date,S/N,condi,open,VID,PID,REV,F/W,FPGA,LED,Anime_1,Ani_R1,Ani_G1,Ani_B1,Anime_2,Ani_R2,Ani_G2,Ani_B2,IrLedNo,IrLED,touch,cable,M1,M1_R,AX,AX_R,AY,AY_R,BX,BX_R,BY,BY_R,CX,CX_R,CY,CY_R,DX,DX_R,DY,DY_R,M2,M2_R,EX,EX_R,EY,EY_R,FX,FX_R,FY,FY_R,GX,GX_R,GY,GY_R,HX,HX_R,HY,HY_R,CNo,time,camera,noise,Command,error,USB in/rm,USB kind,inspection date,inspection result,inspection no,aging date,aging result,aging no,packing date,packing result,packing no,IQC date,IQC result,IQC no
2015/03/18,P150302002,0,OK,OK,OK,OK,OK,OK,OK,ALERT,7768,7731,7840,OK,6969,6960,7011,,,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,14:31:12,,,,,,,2015/03/18 14:32:15,NG,1,2015/03/18 13:48:28,OK,15,,,,,,
2015/03/18,P150302002,1,OK,OK,OK,OK,OK,OK,OK,ALERT,7703,7654,7771,OK,6933,6924,6980,,,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,14:32:27,,,,,,,2015/03/18 14:33:17,NG,2,2015/03/18 13:48:28,OK,15,,,,,,
2015/03/18,P150301901,0,OK,OK,OK,OK,OK,OK,OK,ALERT,7475,7461,7521,OK,6591,6582,6625,,,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,14:34:20,,,,,,,2015/03/18 14:34:45,NG,1,2015/03/18 13:48:28,OK,8,,,,,,
2015/03/18,P150301901,1,OK,OK,OK,OK,OK,OK,OK,ALERT,7500,7504,7561,OK,6531,6512,6575,,,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,14:36:23,,,,,,,2015/03/18 14:37:12,NG,2,2015/03/18 13:48:28,OK,8,,,,,,
2015/03/18,P150301901,1,OK,OK,OK,OK,OK,OK,OK,ALERT,7755,7762,7811,OK,6706,6695,6757,,,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,14:37:37,,,,,,,2015/03/18 14:38:24,NG,3,2015/03/18 13:48:28,OK,8,,,,,,
2015/03/18,P150301901,1,OK,OK,OK,OK,OK,OK,OK,OK,0,0,0,OK,0,0,0,12,OK,OK,,735,OK,211,OK,186,OK,1161,OK,158,OK,220,OK,873,OK,1166,OK,878,OK,706,OK,90,OK,172,OK,1085,OK,148,OK,95,OK,892,OK,1093,OK,892,OK,44,14:39:06,OK,OK,OK,,OK,,2015/03/18 14:42:03,ALERT,4,2015/03/18 13:48:28,OK,8,,,,,,
2015/03/18,P150302002,1,OK,OK,OK,OK,OK,OK,OK,OK,0,0,0,OK,0,0,0,12,OK,OK,,730,OK,207,OK,185,OK,1153,OK,156,OK,219,OK,877,OK,1163,OK,871,OK,708,OK,78,OK,161,OK,1068,OK,142,OK,84,OK,885,OK,1076,OK,877,OK,44,14:42:22,OK,OK,OK,,ALERT,CANCEL,2015/03/18 14:44:25,NG,3,2015/03/18 13:48:28,OK,15,,,,,,
2015/03/18,P150302002,1,OK,OK,OK,OK,OK,OK,OK,,,,,,,,,,,ALERT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,14:44:29,,,,,,,2015/03/18 14:45:16,NG,4,2015/03/18 13:48:28,OK,15,,,,,,
2015/03/18,P150302002,1,OK,OK,OK,OK,OK,OK,OK,,,,,,,,,,,ALERT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,14:45:20,,,,,,,2015/03/18 14:45:44,NG,5,2015/03/18 13:48:28,OK,15,,,,,,
2015/03/18,P150302,1,OK,OK,OK,OK,OK,OK,OK,OK,0,0,0,OK,0,0,0,0,ALERT,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,14:48:27,OK,OK,,,,,2015/03/18 14:49:33,NG,6,2015/03/18 13:48:28,OK,15,,,,,,
2015/03/18,P150302002,1,OK,OK,OK,OK,OK,OK,OK,OK,0,0,2,OK,0,0,0,12,OK,OK,,732,OK,198,OK,190,OK,1138,OK,143,OK,218,OK,876,OK,1166,OK,858,OK,706,OK,70,OK,160,OK,1053,OK,123,OK,82,OK,881,OK,1082,OK,860,OK,44,14:49:36,OK,OK,OK,,OK,,2015/03/18 14:51:41,ALERT,7,2015/03/18 13:48:28,OK,15,,,,,,
2015/03/18,P150302008,0,OK,OK,OK,OK,OK,OK,OK,OK,0,0,0,OK,0,0,0,12,OK,OK,,733,OK,216,OK,181,OK,1165,OK,153,OK,228,OK,876,OK,1175,OK,869,OK,707,OK,78,OK,161,OK,1063,OK,140,OK,89,OK,884,OK,1075,OK,869,OK,44,14:52:35,OK,OK,OK,,OK,,2015/03/18 14:54:40,ALERT,1,2015/03/18 13:48:28,OK,6,,,,,,
2015/03/18,P150302003,0,OK,OK,OK,OK,OK,OK,OK,OK,0,0,0,OK,0,0,0,12,OK,OK,,731,OK,219,OK,187,OK,1170,OK,162,OK,231,OK,886,OK,1178,OK,877,OK,708,OK,88,OK,167,OK,1077,OK,138,OK,103,OK,891,OK,1094,OK,871,OK,44,14:55:27,OK,OK,OK,,OK,,2015/03/18 14:58:41,ALERT,1,2015/03/18 13:48:28,OK,6,,,,,,
2015/03/18,P150302005,0,OK,OK,OK,OK,OK,OK,OK,OK,0,0,0,OK,0,0,0,12,OK,OK,,732,OK,194,OK,190,OK,1138,OK,152,OK,210,OK,882,OK,1161,OK,868,OK,704,OK,74,OK,159,OK,1052,OK,123,OK,86,OK,878,OK,1080,OK,854,OK,44,14:59:09,OK,OK,OK,,OK,,2015/03/18 15:01:24,ALERT,1,2015/03/18 13:48:28,OK,15,,,,,,
