S/No	SWCRDBFMN	Project	Version	Station	LightBox	Fixture	LightPanel	Date	Time	S_BL	S_BR	S_CT	S_TL	S_TR	Shd	DKC	Wa_BL	Wa_BR	Wa_CT	Wa_TL	Wa_TR	Dfa_BL	Dfa_BR	Dfa_CT	Dfa_TL	Dfa_TR	Wb_BL	Wb_BR	Wb_CT	Wb_TL	Wb_TR	Dfb_BL	Dfb_BR	Dfb_CT	Dfb_TL	Dfb_TR	CR_H	CR_S	CR_L	CG_H	CG_S	CG_L	CB_H	CB_S	CB_L	R_TL	R_TR	R_CT	R_BL	R_BR	De1	De2	R_CTST	DZ1	DZ2	WZ1	WZ2	WZ1S	WZ2S	DC	WL	DV	BZ1	BZ2	WZ1	WZ2	WZ1S	WZ2S	BC	WL	BV	NO_MEANS	NO_STANDARD	BLEM	X_val	Y_val	dpc_stdev	dpc_max	dpc_min	nFit	peak	ripple	sigma	mean	amp	StdDevRed	StdDevGreen	StdDevBlue	StdDevRGB	CycleTime_S	
DCVPC01CL5T3J5	O--O-------	FE10FF-345H	0112.1	Focus	000	000	000	20131212	00:00:57	167.57	163.53	186.99	168.48	167.36	87.45	0.93	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	71.86	68.39	74.97	74.42	72.89	0.55	6.03	2.71	0	0	0	0	0	0	0	0	0.000	0	0	0	0	0	0	0	0	0.000	159.104167	0.000000	0	1280	1024	23.081	219	106	32	205	0.540	9.604	197.682	5475.944	399.887	305.794	499.775	1205.456	12	
DCVPC01CL5T3JB	O--O-------	FE10FF-345H	0112.1	Focus	000	000	000	20131212	00:01:19	167.33	163.43	191.39	173.73	172.57	85.40	0.93	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	70.79	71.75	74.15	73.43	73.27	0.72	2.64	2.61	0	0	0	0	0	0	0	0	0.000	0	0	0	0	0	0	0	0	0.000	160.997396	0.000000	0	1280	1024	23.202	222	106	28	212	0.587	7.547	202.777	5697.533	408.739	312.825	514.911	1236.475	12	
DCVPC01CL5T3JG	O--O-------	FE10FF-345H	0112.1	Focus	000	000	000	20131212	00:01:42	162.55	163.32	187.94	168.97	171.41	86.49	0.90	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	73.26	73.64	74.78	73.86	74.03	0.75	0.76	2.63	0	0	0	0	0	0	0	0	0.000	0	0	0	0	0	0	0	0	0.000	158.347656	0.000000	0	1280	1024	23.134	219	107	39	181	0.178	24.598	180.154	4804.093	391.673	297.791	488.580	1178.044	10	
DCVPC01CL5T3JL	O--O-------	FE10FF-345H	0112.1	Focus	000	000	000	20131212	00:02:01	158.07	164.20	187.05	164.44	170.82	84.51	0.90	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	72.40	73.32	74.55	73.40	74.40	0.15	2.01	2.61	0	0	0	0	0	0	0	0	0.000	0	0	0	0	0	0	0	0	0.000	156.873698	0.000000	0	1280	1024	23.545	221	104	39	177	0.155	25.479	181.954	4664.717	403.272	304.888	474.677	1182.836	10	
DCVPC01CL5T3HS	O--O-------	FE10FF-345H	0112.1	Focus	000	000	000	20131212	00:02:21	157.19	166.81	189.67	163.88	174.60	82.88	0.88	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	74.19	74.95	73.63	73.69	74.64	-1.32	1.26	2.58	0	0	0	0	0	0	0	0	0.000	0	0	0	0	0	0	0	0	0.000	163.703125	0.000000	0	1280	1024	23.903	218	109	26	212	0.705	6.558	202.022	5917.769	401.003	306.741	477.717	1185.461	10	
DCVPC01CL5T3HY	O--O-------	FE10FF-345H	0112.1	Focus	000	000	000	20131212	00:02:39	170.65	165.32	194.69	174.24	170.78	84.91	0.94	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	72.18	70.66	76.15	73.47	72.38	2.68	2.82	2.67	0	0	0	0	0	0	0	0	0.000	0	0	0	0	0	0	0	0	0.000	160.486979	0.000000	0	1280	1024	24.553	222	98	39	180	0.116	26.177	183.074	4542.276	405.517	315.536	480.680	1201.733	10	
DCVPC01CL5T3I3	O--O-------	FE10FF-345H	0112.1	Focus	000	000	000	20131212	00:02:57	159.86	147.84	190.48	179.08	180.01	77.62	0.78	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	73.02	72.71	75.68	73.60	71.31	2.08	2.28	2.67	0	0	0	0	0	0	0	0	0.000	0	0	0	0	0	0	0	0	0.000	142.341146	0.000000	0	1280	1024	23.521	218	99	25	212	0.593	7.716	201.443	5259.893	409.809	316.609	512.872	1239.291	8	
DCVPC01CL5T3I9	O--O-------	FE10FF-345H	0112.1	Focus	000	000	000	20131212	00:03:13	165.00	174.81	201.40	167.99	177.70	81.92	0.92	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	71.42	73.55	76.21	72.25	74.56	1.65	3.14	2.66	0	0	0	0	0	0	0	0	0.000	0	0	0	0	0	0	0	0	0.000	173.804688	0.000000	0	1280	1024	26.638	225	96	39	180	0.113	26.598	183.240	4270.038	421.066	325.941	506.464	1253.470	10	
DCVPC01CL5T3IE	O--O-------	FE10FF-345H	0112.1	Focus	000	000	000	20131212	00:03:31	157.46	158.15	187.52	173.51	178.51	83.97	0.89	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	71.59	71.85	76.39	70.04	70.30	4.54	1.80	2.60	0	0	0	0	0	0	0	0	0.000	0	0	0	0	0	0	0	0	0.000	159.207031	0.000000	0	1280	1024	22.629	217	107	24	212	0.483	9.131	200.631	4942.499	397.303	299.859	483.197	1180.359	9	
DCVPC01CL5T3IJ	O--O-------	FE10FF-345H	0112.1	Focus	000	000	000	20131212	00:03:48	170.73	161.06	201.17	187.45	178.91	80.06	0.88	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	74.17	69.96	75.89	72.94	71.40	1.71	4.22	2.58	0	0	0	0	0	0	0	0	0.000	0	0	0	0	0	0	0	0	0.000	160.059896	0.000000	0	1280	1024	25.600	223	98	39	177	0.132	27.910	183.606	4360.070	425.467	322.730	511.295	1259.492	11	
DCVPC01CL5T3GK	O--O-------	FE10FF-345H	0112.1	Focus	000	000	000	20131212	00:04:07	158.23	166.17	187.71	165.08	174.96	84.29	0.91	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	74.20	74.74	75.75	73.37	73.74	1.01	1.37	2.71	0	0	0	0	0	0	0	0	0.000	0	0	0	0	0	0	0	0	0.000	161.727865	0.000000	0	1280	1024	22.851	216	106	39	180	0.171	20.626	179.802	5094.495	374.117	291.756	477.652	1143.525	11	
DCVPC01CL5T3GQ	O--O-------	FE10FF-345H	0112.1	Focus	000	000	000	20131212	00:04:26	157.26	163.24	185.52	160.06	167.74	84.77	0.89	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	74.94	74.44	74.59	74.53	73.85	-0.35	1.09	2.63	0	0	0	0	0	0	0	0	0.000	0	0	0	0	0	0	0	0	0.000	160.859375	0.000000	0	1280	1024	22.937	215	105	39	176	0.161	25.601	179.621	4823.515	557.645	427.514	674.252	1659.411	8	
DCVPC01CL5T3GV	O--O-------	FE10FF-345H	0112.1	Focus	000	000	000	20131212	00:04:47	154.66	167.30	186.72	163.33	177.79	82.83	0.85	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	74.44	73.65	76.21	72.65	73.38	1.77	1.79	2.71	0	0	0	0	0	0	0	0	0.000	0	0	0	0	0	0	0	0	0.000	162.893229	0.000000	0	1280	1024	23.513	216	106	31	204	0.515	10.037	196.440	5280.311	372.267	286.363	472.162	1130.792	9	
DCVPC01CL5T3H1	O--O-------	FE10FF-345H	0112.1	Focus	000	000	000	20131212	00:05:05	156.43	168.69	191.24	160.61	173.24	81.80	0.90	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	71.56	73.81	76.15	72.40	74.14	2.02	2.58	2.67	0	0	0	0	0	0	0	0	0.000	0	0	0	0	0	0	0	0	0.000	166.837240	0.000000	0	1280	1024	25.702	222	99	39	180	0.135	25.836	182.149	4439.159	413.502	319.611	494.998	1228.111	12	
DCVPC01CL5T3H6	O--O-------	FE10FF-345H	0112.1	Focus	000	000	000	20131212	00:05:25	153.64	160.70	186.57	161.32	171.56	82.35	0.85	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	73.74	74.33	74.85	73.06	74.10	0.53	1.27	2.60	0	0	0	0	0	0	0	0	0.000	0	0	0	0	0	0	0	0	0.000	156.666667	0.000000	0	1280	1024	23.498	217	104	39	176	0.163	24.213	179.054	4749.396	562.741	431.105	675.762	1669.608	10	
DCVPC01CL5T3HC	O--O-------	FE10FF-345H	0112.1	Focus	000	000	000	20131212	00:05:43	159.75	153.76	189.48	165.84	161.63	81.15	0.96	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	74.02	73.29	75.47	73.95	73.25	1.45	0.77	2.58	0	0	0	0	0	0	0	0	0.000	0	0	0	0	0	0	0	0	0.000	151.953125	0.000000	0	1280	1024	25.106	222	93	39	179	0.156	26.907	182.069	4372.300	571.667	444.294	697.295	1713.256	9	
DCVPC01CL5T3HH	O--O-------	FE10FF-345H	0112.1	Focus	000	000	000	20131212	00:06:00	159.30	157.65	188.98	168.26	171.91	83.42	0.87	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	74.30	75.09	75.16	74.27	74.61	0.07	0.81	2.56	0	0	0	0	0	0	0	0	0.000	0	0	0	0	0	0	0	0	0.000	154.210938	0.000000	0	1280	1024	22.634	218	105	39	180	0.180	21.063	180.041	5001.451	550.883	425.964	673.019	1649.866	9	
DCVPC01CL5T3H5	O--O-------	FE10FF-345H	0112.1	Focus	000	000	000	20131212	00:09:10	160.55	151.18	188.19	177.03	171.37	80.33	0.87	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	74.41	72.50	74.81	74.37	71.35	0.40	3.06	2.63	0	0	0	0	0	0	0	0	0.000	0	0	0	0	0	0	0	0	0.000	149.229167	0.000000	0	1280	1024	22.931	218	101	25	212	0.749	6.842	201.567	5740.992	558.606	423.900	661.086	1643.592	11	
DCVPC01CL5T3K6	O--O-------	FE10FF-345H	0112.1	Focus	000	000	000	20131212	00:09:29	160.10	159.05	188.83	167.02	170.13	84.23	0.90	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	74.33	73.58	74.89	74.30	73.51	0.55	0.83	2.62	0	0	0	0	0	0	0	0	0.000	0	0	0	0	0	0	0	0	0.000	156.128906	0.000000	0	1280	1024	23.516	217	102	39	176	0.173	23.158	179.254	4714.752	542.822	420.581	665.577	1628.980	10	
DCVPC01CL5T3KC	O--O-------	FE10FF-345H	0112.1	Focus	000	000	000	20131212	00:09:46	159.32	177.03	193.67	161.51	177.99	82.26	0.90	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	73.13	73.22	75.56	72.40	73.69	1.87	1.29	2.71	0	0	0	0	0	0	0	0	0.000	0	0	0	0	0	0	0	0	0.000	176.095052	0.000000	0	1280	1024	25.918	221	100	39	180	0.165	25.426	181.039	4450.466	391.231	303.895	481.934	1177.061	10	
