S/No	FFDD	Date	Time	Version	Station	Fixture	PC	MIC	L_FREQ	R_FREQ	L_dB	R_dB	L_Noise	R_Noise	CycleTime	
DDPJB01855TBS5	XXXXXX	20131210	00:03:56	2012.10.22	000	000	000	2	0	0	0.00	0.00	0.00	0.00	21	
DDPJB01855TBS5	OOOOOO	20131210	00:04:31	2012.10.22	000	000	000	2	1001	1001	-28.73	-31.47	101.29	68.71	16	
DDPJB01855TBT6	OOOOOO	20131210	00:04:48	2012.10.22	000	000	000	2	1001	1001	-29.25	-31.07	90.38	60.61	7	
DDPJB01855TBTC	OOOOOO	20131210	00:04:56	2012.10.22	000	000	000	2	1001	1001	-29.27	-31.01	86.98	62.44	7	
DDPJB01855TBS4	OOOOOO	20131210	00:05:05	2012.10.22	000	000	000	2	1001	1001	-29.37	-31.04	114.52	104.66	7	
DDPJB01855TBSA	OOOOOO	20131210	00:05:16	2012.10.22	000	000	000	2	1001	1001	-29.41	-31.17	75.44	68.76	6	
DDPJB01855TBT1	OOOOOO	20131210	00:05:34	2012.10.22	000	000	000	2	1001	1001	-29.48	-31.13	83.14	78.93	7	
DDPJB01855TBSK	OOOOOO	20131210	00:05:43	2012.10.22	000	000	000	2	1001	1001	-26.08	-30.33	135.03	88.82	17	
DDPJB01855TBSV	OOOOOO	20131210	00:06:03	2012.10.22	000	000	000	2	1001	1001	-28.46	-32.03	105.57	78.39	16	
DDPJB01855TBUE	OOOOOO	20131210	00:06:20	2012.10.22	000	000	000	2	1001	1001	-32.66	-27.40	77.32	108.43	15	
DDPJB01855TBSQ	OOOOOO	20131210	00:06:37	2012.10.22	000	000	000	2	1001	1001	-25.13	-34.24	116.52	44.76	18	
DDPJB01855TCSI	OOOOOO	20131210	00:09:17	2012.10.22	000	000	000	2	1001	1001	-33.02	-33.88	54.72	43.48	14	
DDPJB01855TCRS	OOOOOO	20131210	00:09:33	2012.10.22	000	000	000	2	1001	1001	-31.28	-36.40	57.72	23.07	15	
DDPJB01855TCRY	OOOOOO	20131210	00:09:49	2012.10.22	000	000	000	2	1001	1001	-33.04	-31.35	77.98	87.51	15	
DDPJB01855TCSP	OOOOOO	20131210	00:10:05	2012.10.22	000	000	000	2	1001	1001	-33.33	-32.78	62.10	74.86	13	
DDPJB01855TCS9	OOOOOO	20131210	00:10:20	2012.10.22	000	000	000	2	1001	1001	-30.40	-34.58	71.61	69.18	16	
DDPJB01855TCSZ	OOOOOO	20131210	00:10:37	2012.10.22	000	000	000	2	1001	1001	-30.37	-34.25	87.76	65.88	14	
DDPJB01855TCSO	OOOOOO	20131210	00:10:53	2012.10.22	000	000	000	2	1001	1001	-34.23	-30.85	69.77	83.90	24	
DDPJB01855TCT0	OOOOOO	20131210	00:11:18	2012.10.22	000	000	000	2	1001	1001	-34.41	-30.70	69.78	98.30	7	
DDPJB01855TCSD	OOOOOO	20131210	00:11:26	2012.10.22	000	000	000	2	1001	1001	-34.48	-30.65	67.18	107.10	7	
DDPJB01855TCRN	OOOOOO	20131210	00:11:34	2012.10.22	000	000	000	2	1001	1001	-34.65	-30.58	160.45	108.72	7	
DDPJB01855TCRH	OOOOOO	20131210	00:11:42	2012.10.22	000	000	000	2	1001	1001	-34.58	-30.47	51.73	84.51	7	
DDPJB01855TDFC	OOOOOO	20131210	00:11:51	2012.10.22	000	000	000	2	1001	1001	-34.66	-30.51	50.40	75.89	7	
DDPJB01855TDF6	OOOOOO	20131210	00:12:01	2012.10.22	000	000	000	2	1001	1001	-32.46	-32.63	92.75	128.90	14	
DDPJB01855TBSD	OOOOOO	20131210	00:12:17	2012.10.22	000	000	000	2	1001	1001	-36.45	-27.41	42.39	135.28	13	
DDPJB01855TDEK	OOOOOO	20131210	00:12:32	2012.10.22	000	000	000	2	1001	1001	-34.36	-31.06	49.27	65.91	14	
DDPJB01855TDEQ	OOOOOO	20131210	00:12:47	2012.10.22	000	000	000	2	1001	1001	-34.19	-31.15	69.71	86.46	7	
DDPJB01855TDA0	OOOOOO	20131210	00:12:55	2012.10.22	000	000	000	2	1001	1001	-30.06	-26.45	57.37	96.82	14	
DDPJB01855TBSH	OOOOOO	20131210	00:13:11	2012.10.22	000	000	000	2	1001	1001	-30.76	-26.62	95.38	154.54	7	
DDPJB01855TBUV	OOOOOO	20131210	00:13:19	2012.10.22	000	000	000	2	1001	1001	-31.03	-26.63	79.47	121.50	7	
