SENSOR_ID	RUSPCBTHOFANLMKDX	Module_Number	PCB_Number	Lens_ID	Project	Version	Station	Workstation	Test_Time	Color_Calibration_Result	Total_Single_Defect_Pixel	Total_Couple_Defect_Pixel	Total_Tri_Defect_Pixel	Very_Hot_Defect	Hot_Defect	Bright_Defect	Dark_Defect	Darklevel_Cluster_Duplets	Midlevel_Cluster_Duplets	Darklevel_Cluster_Multiple	Midlevel_Cluster_Multiple	target_level[2300K]_R	target_level[2300K]_GinR	target_level[2300K]_GinB	target_level[2300K]_B	R/G_Color_Ratio_2300K	B/G_Color_Ratio_2300K	target_level[2800K]_R	target_level[2800K]_GinR	target_level[2800K]_GinB	target_level[2800K]_B	R/G_Color_Ratio_2800K	B/G_Color_Ratio_2800K	target_level[4100K]_R	target_level[4100K]_GinR	target_level[4100K]_GinB	target_level[4100K]_B	R/G_Color_Ratio_4100K	B/G_Color_Ratio_4100K	target_level[6500K]_R	target_level[6500K]_GinR	target_level[6500K]_GinB	target_level[6500K]_B	R/G_Color_Ratio_6500K	B/G_Color_Ratio_6500K	R/G_Color_Ratio_TL_2300K	R/G_Color_Ratio_TR_2300K	R/G_Color_Ratio_BL_2300K	R/G_Color_Ratio_BR_2300K	B/G_Color_Ratio_TL_2300K	B/G_Color_Ratio_TR_2300K	B/G_Color_Ratio_BL_2300K	B/G_Color_Ratio_BR_2300K	R/G_Color_Ratio_TL_2800K	R/G_Color_Ratio_TR_2800K	R/G_Color_Ratio_BL_2800K	R/G_Color_Ratio_BR_2800K	B/G_Color_Ratio_TL_2800K	B/G_Color_Ratio_TR_2800K	B/G_Color_Ratio_BL_2800K	B/G_Color_Ratio_BR_2800K	R/G_Color_Ratio_TL_4100K	R/G_Color_Ratio_TR_4100K	R/G_Color_Ratio_BL_4100K	R/G_Color_Ratio_BR_4100K	B/G_Color_Ratio_TL_4100K	B/G_Color_Ratio_TR_4100K	B/G_Color_Ratio_BL_4100K	B/G_Color_Ratio_BR_4100K	R/G_Color_Ratio_TL_6500K	R/G_Color_Ratio_TR_6500K	R/G_Color_Ratio_BL_6500K	R/G_Color_Ratio_BR_6500K	B/G_Color_Ratio_TL_6500K	B/G_Color_Ratio_TR_6500K	B/G_Color_Ratio_BL_6500K	B/G_Color_Ratio_BR_6500K	Color_Uniformity_2300K	Color_Uniformity_2800K	Color_Uniformity_4100K	Color_Uniformity_6500K	Lens_shading_2300K	Lens_shading_2300K_TL	Lens_shading_2300K_TR	Lens_shading_2300K_BL	Lens_shading_2300K_BR	Lens_shading_2800K	Lens_shading_2800K_TL	Lens_shading_2800K_TR	Lens_shading_2800K_BL	Lens_shading_2800K_BR	Lens_shading_4100K	Lens_shading_4100K_TL	Lens_shading_4100K_TR	Lens_shading_4100K_BL	Lens_shading_4100K_BR	Lens_shading_6500K	Lens_shading_6500K_TL	Lens_shading_6500K_TR	Lens_shading_6500K_BL	Lens_shading_6500K_BR	
92523a8db58da5db	-----------------0	L1310200008	0	IR660-02	FM30FF-368H-1	047	CC	L001-01	03/24/2013/10:42:26	OK	51	0	0	2	8	27	14	0	0	0	0	3509.000000	2481.000000	2506.000000	747.000000	1.407259	0.299579	3604.000000	3008.000000	3040.000000	1049.000000	1.191799	0.346892	2356.000000	3231.000000	3267.000000	1124.000000	0.725146	0.345953	1872.000000	2512.000000	2547.000000	1723.000000	0.740067	0.681162	0.824665	0.839523	0.829703	0.839830	1.170470	1.173832	1.164986	1.147183	0.843399	0.860208	0.847026	0.857810	1.139057	1.147809	1.138527	1.127203	0.966819	0.992626	0.966901	0.980854	1.151344	1.167429	1.157334	1.148492	0.922347	0.945001	0.921229	0.934778	1.086273	1.093114	1.100260	1.094008	6.424858	5.282079	3.262599	7.693644	0.508788	0.515747	0.531658	0.508788	0.524350	0.514713	0.521635	0.539122	0.514713	0.531658	0.552381	0.560658	0.577665	0.552381	0.569519	0.546924	0.554899	0.579546	0.546924	0.570512	
624a0727d9faa755	-----------------0	L1310200017	0	IR660-20	FM30FF-368H-1	047	CC	L001-01	03/24/2013/10:45:02	OK	32	0	0	1	3	17	11	0	0	0	0	3251.000000	2271.000000	2299.000000	661.000000	1.422757	0.289278	3369.000000	2785.000000	2821.000000	936.000000	1.201927	0.333928	2191.000000	3011.000000	3054.000000	1011.000000	0.722506	0.333388	1747.000000	2336.000000	2375.000000	1551.000000	0.741668	0.658459	0.816213	0.842302	0.811897	0.836222	1.182725	1.169166	1.165796	1.135865	0.838988	0.864363	0.833863	0.855770	1.154463	1.144916	1.141654	1.115418	0.972177	0.996463	0.967203	0.981844	1.168466	1.166547	1.159445	1.135488	0.928541	0.947821	0.923744	0.936198	1.087914	1.087418	1.082784	1.071416	8.961259	7.627389	5.925386	7.119295	0.512692	0.512692	0.531437	0.517370	0.532430	0.518580	0.518580	0.537505	0.524408	0.539135	0.558236	0.558236	0.574675	0.565210	0.577400	0.553616	0.553616	0.575537	0.560829	0.577681	
f257c63817badb50	-----------------0	L1310200022	0	IR660-10	FM30FF-368H-1	047	CC	L001-01	03/24/2013/10:47:23	OK	32	0	0	0	2	16	14	0	0	0	0	3224.000000	2264.000000	2287.000000	662.000000	1.416831	0.290925	3350.000000	2776.000000	2812.000000	943.000000	1.198998	0.337509	2212.000000	3014.000000	3056.000000	1026.000000	0.728830	0.338056	1746.000000	2328.000000	2369.000000	1563.000000	0.743453	0.665531	0.815869	0.841572	0.809750	0.835827	1.170095	1.167683	1.157715	1.134497	0.838123	0.863407	0.830397	0.855440	1.139534	1.141151	1.131832	1.114228	0.967996	0.994580	0.959398	0.979458	1.150422	1.160930	1.147481	1.134518	0.926362	0.946247	0.918678	0.933800	1.071725	1.078842	1.074027	1.072072	8.544439	7.125647	5.714193	8.930303	0.515554	0.519904	0.527933	0.515554	0.528995	0.522014	0.525349	0.533639	0.522014	0.535537	0.561627	0.564681	0.570774	0.561627	0.573370	0.557627	0.559824	0.571772	0.557627	0.574072	
d24a38d056f62976	-----------------0	L1310200007	0	IR660-16	FM30FF-368H-1	047	CC	L001-01	03/24/2013/10:50:52	OK	23	0	0	1	5	13	4	0	0	0	0	3486.000000	2578.000000	2616.000000	793.000000	1.342318	0.305352	3575.000000	3105.000000	3152.000000	1096.000000	1.142720	0.350328	2430.000000	3365.000000	3408.000000	1191.000000	0.717555	0.351691	1878.000000	2584.000000	2635.000000	1761.000000	0.719678	0.674842	0.826081	0.846154	0.824212	0.832368	1.157034	1.168044	1.137402	1.127839	0.844217	0.865395	0.842193	0.850011	1.129982	1.143282	1.116168	1.107742	0.956965	0.984147	0.957654	0.968885	1.143077	1.164897	1.134116	1.127613	0.917911	0.939737	0.918037	0.927821	1.080434	1.085509	1.074284	1.062873	6.277172	4.986025	3.614474	8.591826	0.508084	0.508084	0.524158	0.514419	0.533095	0.513962	0.513962	0.530597	0.521229	0.540999	0.550240	0.550240	0.566016	0.559002	0.578341	0.545589	0.545589	0.567272	0.554818	0.579881	
824ea2eba412b4c0	-----------------0	L1310200004	0	IR660-08	FM30FF-368H-1	047	CC	L001-01	03/24/2013/10:53:11	OK	43	0	0	0	5	30	8	0	0	0	0	3243.000000	2322.000000	2346.000000	652.000000	1.389460	0.279349	3376.000000	2861.000000	2893.000000	929.000000	1.173445	0.322906	2249.000000	3135.000000	3172.000000	1021.000000	0.713176	0.323767	1790.000000	2453.000000	2492.000000	1588.000000	0.723964	0.642265	0.815427	0.851210	0.808563	0.842125	1.181632	1.198244	1.165160	1.159875	0.836724	0.874082	0.829537	0.862702	1.154692	1.173291	1.139926	1.139903	0.961660	1.009883	0.956771	0.990716	1.162873	1.192892	1.152764	1.159988	0.922033	0.962154	0.917386	0.944957	1.090534	1.113801	1.081200	1.095400	6.709592	5.489830	3.372560	9.965651	0.520985	0.524230	0.520985	0.522023	0.522237	0.526567	0.529789	0.526567	0.528680	0.528303	0.563055	0.568793	0.563055	0.568248	0.564968	0.563474	0.563474	0.564440	0.563674	0.566540	
b257e0ad1b9356e6	-----------------0	L1310200002	0	IR660-13	FM30FF-368H-1	047	CC	L001-01	03/24/2013/10:55:33	OK	20	0	0	0	3	12	5	0	0	0	0	3577.000000	2600.000000	2636.000000	816.000000	1.366310	0.311688	3719.000000	3170.000000	3217.000000	1135.000000	1.164553	0.355409	2487.000000	3431.000000	3484.000000	1228.000000	0.719306	0.355170	1936.000000	2639.000000	2687.000000	1795.000000	0.727000	0.674052	0.836034	0.847109	0.834888	0.834450	1.157914	1.168742	1.131433	1.131472	0.853541	0.866623	0.851651	0.852667	1.137777	1.146933	1.115157	1.115074	0.966711	0.990317	0.965630	0.971573	1.151205	1.169671	1.133617	1.133380	0.926040	0.943067	0.923595	0.928732	1.087947	1.090497	1.076485	1.072905	7.167334	5.934863	5.119186	8.163592	0.514562	0.514562	0.517658	0.521462	0.526857	0.520616	0.520616	0.524294	0.528625	0.534442	0.557393	0.557393	0.560247	0.566205	0.572123	0.552331	0.552331	0.560982	0.561390	0.572814	
a24b830ed97ff252	-----------------0	L1310200010	0	IR660-09	FM30FF-368H-1	047	CC	L001-01	03/24/2013/10:57:47	OK	113	2	0	0	2	81	30	0	2	0	0	3262.000000	2375.000000	2399.000000	662.000000	1.366569	0.277336	3407.000000	2930.000000	2963.000000	950.000000	1.156287	0.322416	2320.000000	3238.000000	3279.000000	1060.000000	0.711984	0.325303	1819.000000	2521.000000	2565.000000	1648.000000	0.715297	0.648053	0.819523	0.829536	0.815748	0.821592	1.159835	1.169395	1.156030	1.143671	0.841527	0.852636	0.837282	0.842441	1.128166	1.142575	1.130800	1.121893	0.968701	0.987445	0.965578	0.974454	1.142567	1.159864	1.148772	1.139875	0.925461	0.939364	0.924114	0.930245	1.066641	1.082403	1.079217	1.078949	9.375111	8.270998	7.688892	3.879774	0.516687	0.524497	0.535047	0.516687	0.530130	0.523000	0.529730	0.541081	0.523000	0.537130	0.558943	0.565070	0.576696	0.558943	0.575071	0.555314	0.560438	0.578257	0.555314	0.576207	
f25aaa64716fd776	-----------------0	L1310200026	0	IR660-12	FM30FF-368H-1	047	CC	L001-01	03/24/2013/11:00:00	OK	24	0	0	0	6	14	4	0	0	0	0	3249.000000	2351.000000	2375.000000	667.000000	1.374947	0.282268	3398.000000	2900.000000	2934.000000	952.000000	1.164895	0.326363	2308.000000	3205.000000	3250.000000	1062.000000	0.715105	0.329047	1814.000000	2499.000000	2541.000000	1622.000000	0.719841	0.643651	0.824301	0.834848	0.828525	0.838244	1.196270	1.169859	1.179774	1.134161	0.844992	0.856321	0.849284	0.857556	1.164044	1.143301	1.153123	1.114297	0.972315	0.987549	0.978072	0.983946	1.171875	1.160829	1.164370	1.129446	0.928814	0.940057	0.938399	0.942295	1.095283	1.080741	1.095087	1.070993	8.817446	7.265251	5.750149	8.197284	0.515776	0.515776	0.528937	0.523418	0.539499	0.521117	0.521117	0.535154	0.529864	0.546760	0.557440	0.557440	0.571129	0.566285	0.583358	0.552284	0.552284	0.572246	0.562334	0.585215	
725e90b96267505c	-----------------0	L1310200031	0	IR660-04	FM30FF-368H-1	047	CC	L001-01	03/24/2013/11:02:14	OK	39	0	0	0	4	24	11	0	0	0	0	3286.000000	2328.000000	2342.000000	663.000000	1.407281	0.283940	3420.000000	2865.000000	2890.000000	942.000000	1.188532	0.327368	2295.000000	3157.000000	3192.000000	1046.000000	0.722948	0.329501	1785.000000	2417.000000	2448.000000	1560.000000	0.733813	0.641316	0.821696	0.845144	0.828352	0.846096	1.167344	1.179978	1.161071	1.154515	0.842506	0.867671	0.848798	0.867501	1.139984	1.155110	1.138248	1.136124	0.964961	1.001722	0.974014	0.997339	1.145484	1.172113	1.149522	1.150866	0.922983	0.954716	0.931677	0.954682	1.078377	1.090863	1.089687	1.088151	7.458624	5.420610	3.075857	9.968538	0.519416	0.519416	0.534180	0.519610	0.539553	0.525231	0.525231	0.540824	0.526286	0.546773	0.562451	0.562451	0.576512	0.563161	0.583175	0.556647	0.556647	0.577896	0.558889	0.585961	
325e381514c62156	-----------------0	L1310200011	0	IR660-18	FM30FF-368H-1	047	CC	L001-01	03/24/2013/11:04:33	OK	53	0	0	0	5	35	13	0	0	0	0	3374.000000	2401.000000	2425.000000	698.000000	1.398259	0.289266	3517.000000	2951.000000	2987.000000	995.000000	1.184574	0.335130	2371.000000	3257.000000	3295.000000	1106.000000	0.723748	0.337607	1837.000000	2487.000000	2523.000000	1650.000000	0.733333	0.658683	0.816938	0.834976	0.815850	0.832438	1.162852	1.165547	1.155317	1.140053	0.838889	0.856878	0.836602	0.852580	1.135505	1.138461	1.132074	1.118878	0.964343	0.986388	0.964805	0.977440	1.143973	1.158270	1.145939	1.138310	0.924913	0.938505	0.923836	0.930499	1.076488	1.079575	1.079022	1.073257	7.991808	5.445818	3.824865	10.602623	0.513967	0.519211	0.529106	0.513967	0.528076	0.520945	0.525336	0.534823	0.520945	0.534373	0.559981	0.564084	0.570360	0.559981	0.570859	0.556074	0.559274	0.571886	0.556074	0.572549	
3253389f4e06a640	-----------------0	L1310200006	0	IR660-11	FM30FF-368H-1	047	CC	L001-01	03/24/2013/11:06:51	OK	23	0	0	0	2	8	13	0	0	0	0	3562.000000	2547.000000	2581.000000	785.000000	1.389236	0.306162	3698.000000	3114.000000	3157.000000	1097.000000	1.179397	0.349864	2485.000000	3409.000000	3459.000000	1201.000000	0.723646	0.349738	1958.000000	2655.000000	2700.000000	1797.000000	0.731279	0.671148	0.833883	0.839741	0.832357	0.824541	1.156583	1.165844	1.137502	1.128175	0.851508	0.859333	0.848868	0.842408	1.131353	1.140445	1.118779	1.109134	0.968189	0.986921	0.963768	0.966957	1.143290	1.162436	1.138512	1.131907	0.924744	0.936093	0.921218	0.921486	1.081402	1.079789	1.086815	1.070120	9.136216	8.121584	7.851065	4.213811	0.511630	0.520912	0.522498	0.511630	0.517925	0.518668	0.526855	0.528854	0.518668	0.525748	0.556086	0.564356	0.566093	0.556086	0.564740	0.551492	0.558168	0.566238	0.551492	0.566044	
72421b69122386a1	-----------------0	L1310200032	0	IR660-03	FM30FF-368H-1	047	CC	L001-01	03/24/2013/11:09:23	OK	21	0	0	0	2	11	8	0	0	0	0	3283.000000	2301.000000	2330.000000	671.000000	1.417836	0.289786	3394.000000	2808.000000	2851.000000	945.000000	1.199505	0.333981	2285.000000	3108.000000	3159.000000	1052.000000	0.729217	0.335727	1771.000000	2370.000000	2417.000000	1570.000000	0.739921	0.655943	0.818165	0.835976	0.808736	0.826883	1.174207	1.162580	1.150257	1.122067	0.840318	0.858034	0.829536	0.846122	1.144148	1.137148	1.124819	1.101884	0.969326	0.989321	0.957530	0.968761	1.154069	1.157027	1.138741	1.121777	0.926988	0.940356	0.918365	0.924356	1.075361	1.075877	1.065456	1.058494	6.728790	5.495797	2.476713	9.879863	0.521087	0.521087	0.527129	0.523327	0.531685	0.527052	0.527052	0.533705	0.530542	0.538952	0.565717	0.565717	0.570710	0.570273	0.577293	0.560692	0.560692	0.571387	0.566693	0.578413	
c2572fb95f0769dc	-----------------0	L1310200029	0	IR660-06	FM30FF-368H-1	047	CC	L001-01	03/24/2013/11:11:33	OK	53	2	0	0	2	45	6	0	2	0	0	3064.000000	2275.000000	2296.000000	638.000000	1.340626	0.279151	3224.000000	2822.000000	2853.000000	918.000000	1.136211	0.323524	2252.000000	3146.000000	3181.000000	1040.000000	0.711870	0.328750	1711.000000	2390.000000	2426.000000	1526.000000	0.710548	0.633721	0.822723	0.851775	0.811719	0.848705	1.198925	1.199156	1.154794	1.148424	0.844066	0.874208	0.830840	0.867444	1.163821	1.166807	1.128214	1.124129	0.971345	1.006534	0.954575	0.990230	1.166899	1.179382	1.136706	1.135794	0.934464	0.963191	0.915463	0.949527	1.095420	1.099595	1.080207	1.084075	6.754621	5.439975	3.282489	9.781271	0.520638	0.526690	0.520638	0.533451	0.527386	0.525850	0.531908	0.525850	0.540089	0.533097	0.558726	0.568179	0.558726	0.578470	0.568443	0.561975	0.565293	0.561975	0.575344	0.571227	
