S/No	SWCRDBFMN	Project	Version	Station	LightBox	Fixture	LightPanel	Date	Time	S_BL	S_BR	S_CT	S_TL	S_TR	Shd	DKC	Wa_BL	Wa_BR	Wa_CT	Wa_TL	Wa_TR	Dfa_BL	Dfa_BR	Dfa_CT	Dfa_TL	Dfa_TR	Wb_BL	Wb_BR	Wb_CT	Wb_TL	Wb_TR	Dfb_BL	Dfb_BR	Dfb_CT	Dfb_TL	Dfb_TR	CR_H	CR_S	CR_L	CG_H	CG_S	CG_L	CB_H	CB_S	CB_L	R_TL	R_TR	R_CT	R_BL	R_BR	De1	De2	R_CTST	F_R_TL	F_R_TR	F_R_CT	F_R_BL	F_R_BR	F_De1	F_De2	DZ1	DZ2	WZ1	WZ2	WZ1S	WZ2S	DC	WL	DV	BZ1	BZ2	WZ1	WZ2	WZ1S	WZ2S	BC	WL	BV	NO_MEANS	NO_STANDARD	BLEM	X_val	Y_val	dpc_stdev	dpc_max	dpc_min	nFit	peak	ripple	sigma	mean	amp	StdDevRed	StdDevGreen	StdDevBlue	StdDevRGB	CycleTime_S	FFDD	MIC	L_FREQ	R_FREQ	L_dB	R_dB	L_Noise	R_Noise	
DFQPT0385891GT	OOOOO-XOOOO-----	FS13FF-530H_AIO_RGB_2017061201	0101.0	Focus	000	000	000	2017_08_12	00:00:19	131.30	139.22	132.37	133.60	142.17	99.19	0.90	124.89	122.43	124.45	125.24	121.76	-2.11	-4.57	-2.55	-1.76	-5.24	129.23	130.67	129.15	129.38	130.66	2.23	3.67	2.15	2.38	3.66	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	22.07	66.52	21.68	19.37	58.81	-44.44	47.14	1.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0.000	0	0	0	0	0	0	0	0	0.957	0.629264	0.300396	0	1280	1024	0.000	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0	--OO--	2	0	0	-26.14	-26.16	0.00	0.00	
DFQPT0385891GT	OOOOO-OOOOOO----	FS13FF-530H_AIO_RGB_2017061201	0101.0	Focus	000	000	000	2017_08_12	00:00:37	131.30	139.22	132.37	133.60	142.17	99.19	0.90	124.89	122.43	124.45	125.24	121.76	-2.11	-4.57	-2.55	-1.76	-5.24	129.23	130.67	129.15	129.38	130.66	2.23	3.67	2.15	2.38	3.66	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	22.07	66.52	21.68	19.37	58.81	-44.44	47.14	1.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0.000	0	0	0	0	0	0	0	0	0.957	0.629264	0.300396	0	1280	1024	0.000	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0	--OO--	2	0	0	-26.14	-26.16	0.00	0.00	
DFQPT0385891GV	OOOOO-OOOOOO----	FS13FF-530H_AIO_RGB_2017061201	0101.0	Focus	000	000	000	2017_08_12	00:01:39	134.66	140.99	133.84	135.08	140.95	100.00	0.94	122.60	120.86	121.98	122.95	121.94	-4.40	-6.14	-5.02	-4.05	-5.06	131.40	132.98	131.98	131.28	132.40	4.40	5.98	4.98	4.28	5.40	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	77.61	74.38	79.92	75.61	73.95	-2.31	5.97	3.58	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0.000	0	0	0	0	0	0	0	0	0.937	0.618891	0.325167	0	1280	1024	0.000	0	0	0	0	0.000	0.000	0.000	0.000	215.391	199.084	215.545	630.020	0	--OO--	2	0	0	-26.04	-25.95	0.00	0.00	
DFQPT0385891GV	OOOOO-OOOOOO----	FS13FF-530H_AIO_RGB_2017061201	0101.0	Focus	000	000	000	2017_08_12	00:02:47	134.66	140.99	133.84	135.08	140.95	100.00	0.94	122.60	120.86	121.98	122.95	121.94	-4.40	-6.14	-5.02	-4.05	-5.06	131.40	132.98	131.98	131.28	132.40	4.40	5.98	4.98	4.28	5.40	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	37.13	63.37	79.07	34.47	60.58	-41.94	44.60	2.90	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0.000	0	0	0	0	0	0	0	0	0.937	0.618891	0.325167	0	1280	1024	0.000	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0	--OO--	2	0	0	-26.04	-25.95	0.00	0.00	
DFQPT0385891GV	OOOOO-OOOOOO----	FS13FF-530H_AIO_RGB_2017061201	0101.0	Focus	000	000	000	2017_08_12	00:02:51	134.66	140.99	133.84	135.08	140.95	100.00	0.94	122.60	120.86	121.98	122.95	121.94	-4.40	-6.14	-5.02	-4.05	-5.06	131.40	132.98	131.98	131.28	132.40	4.40	5.98	4.98	4.28	5.40	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	37.13	63.37	79.07	34.47	60.58	-41.94	44.60	2.90	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0.000	0	0	0	0	0	0	0	0	0.937	0.618891	0.325167	0	1280	1024	0.000	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0	--OO--	2	0	0	-26.04	-25.95	0.00	0.00	
DFQPT0385891GW	OOOOO-OOOOOO----	FS13FF-530H_AIO_RGB_2017061201	0101.0	Focus	000	000	000	2017_08_12	00:03:44	132.66	138.10	131.07	134.23	139.09	100.00	0.93	125.19	122.60	123.81	125.00	122.70	-1.81	-4.40	-3.19	-2.00	-4.30	129.60	130.38	128.91	129.59	130.38	2.60	3.38	1.91	2.59	3.38	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	76.51	72.90	80.05	75.76	74.12	-3.54	7.15	3.52	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0.000	0	0	0	0	0	0	0	0	0.912	0.580881	0.267571	0	1280	1024	0.000	0	0	0	0	0.000	0.000	0.000	0.000	197.219	181.828	195.392	574.439	0	--OO--	2	0	0	-25.89	-26.49	0.00	0.00	
DFQPT0385891GW	OOOOO-OOOOOO----	FS13FF-530H_AIO_RGB_2017061201	0101.0	Focus	000	000	000	2017_08_12	00:04:52	132.66	138.10	131.07	134.23	139.09	100.00	0.93	125.19	122.60	123.81	125.00	122.70	-1.81	-4.40	-3.19	-2.00	-4.30	129.60	130.38	128.91	129.59	130.38	2.60	3.38	1.91	2.59	3.38	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	29.79	65.20	30.52	26.87	65.66	-35.88	38.80	1.04	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0.000	0	0	0	0	0	0	0	0	0.912	0.580881	0.267571	0	1280	1024	0.000	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0	--OO--	2	0	0	-25.89	-26.49	0.00	0.00	
DFQPT0385891GW	OOOOO-OOOOOO----	FS13FF-530H_AIO_RGB_2017061201	0101.0	Focus	000	000	000	2017_08_12	00:05:00	132.66	138.10	131.07	134.23	139.09	100.00	0.93	125.19	122.60	123.81	125.00	122.70	-1.81	-4.40	-3.19	-2.00	-4.30	129.60	130.38	128.91	129.59	130.38	2.60	3.38	1.91	2.59	3.38	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	29.79	65.20	30.52	26.87	65.66	-35.88	38.80	1.04	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0.000	0	0	0	0	0	0	0	0	0.912	0.580881	0.267571	0	1280	1024	0.000	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0	--OO--	2	0	0	-25.89	-26.49	0.00	0.00	
DFQPT0385891GX	OOOOO-OOOOOO----	FS13FF-530H_AIO_RGB_2017061201	0101.0	Focus	000	000	000	2017_08_12	00:06:03	134.99	135.70	133.28	139.02	139.75	100.00	0.96	123.20	121.16	122.68	123.33	121.04	-3.80	-5.84	-4.32	-3.67	-5.96	131.70	130.73	131.46	132.32	131.43	4.70	3.73	4.46	5.32	4.43	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	77.36	71.36	80.65	75.31	74.96	-3.29	9.29	3.48	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0.000	0	0	0	0	0	0	0	0	0.982	0.657942	0.327544	0	1280	1024	0.000	0	0	0	0	0.000	0.000	0.000	0.000	207.094	187.889	196.830	591.812	0	--OO--	2	0	0	-25.84	-25.65	0.00	0.00	
DFQPT0385891GX	OOOOO-OOOOOO----	FS13FF-530H_AIO_RGB_2017061201	0101.0	Focus	000	000	000	2017_08_12	00:07:11	134.99	135.70	133.28	139.02	139.75	100.00	0.96	123.20	121.16	122.68	123.33	121.04	-3.80	-5.84	-4.32	-3.67	-5.96	131.70	130.73	131.46	132.32	131.43	4.70	3.73	4.46	5.32	4.43	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	26.27	64.23	30.23	23.85	65.45	-39.19	41.60	1.04	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0.000	0	0	0	0	0	0	0	0	0.982	0.657942	0.327544	0	1280	1024	0.000	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0	--OO--	2	0	0	-25.84	-25.65	0.00	0.00	
